Experiment_number,Participant_num,Female_0_Male_1,Task,tanned_fair_skin_face,face_number,H,S,V,R,G,B,L*,a*,b*,cold_hue_>90<270_chosen_1,time_ms
Experiment_1,9,0,hue vs brightness,tanned,11,11,1,0.45,114,21,0,24.04394656,39.03170479,35.53133897,0,5038
Experiment_1,9,0,hue vs brightness,fair,5,189,1,0.63,0,136,160,52.00231437,-22.01836202,-21.49506529,1,8516
Experiment_1,9,0,hue vs brightness,tanned,7,353,1,0.56,142,0,16,28.87168089,52.07353345,35.2790846,0,6258
Experiment_1,9,0,hue vs brightness,tanned,10,30,1,0.7,178,89,0,47.76448927,31.83374471,56.73242595,0,11922
Experiment_1,9,0,hue vs brightness,fair,4,229,1,0.62,0,28,158,21.20412791,45.01300348,-69.70393729,1,8641
Experiment_1,9,0,hue vs brightness,tanned,12,3,1,0.52,132,6,0,26.83646816,48.05759241,39.58954977,0,3948
Experiment_1,9,0,hue vs brightness,tanned,8,26,1,0.6,153,66,0,39.01683675,33.56979836,49.56874266,0,7848
Experiment_1,9,0,hue vs brightness,fair,2,172,1,0.41,0,104,90,38.96535876,-29.39472877,0.59184625,1,9591
Experiment_1,9,0,hue vs brightness,fair,3,31,1,0.02,5,2,0,0.683624195,0.50642071,1.033266376,0,6561
Experiment_1,9,0,hue vs brightness,fair,1,246,1,0.12,3,0,30,1.021591136,6.734526268,-15.59853517,1,14859
Experiment_1,9,0,hue vs brightness,tanned,9,353,1,0.45,114,0,13,22.3252738,44.5085458,28.37490478,0,12680
Experiment_1,9,0,hue vs brightness,fair,6,187,1,0.31,0,69,79,26.21787803,-15.0053425,-11.46719321,1,13191
Experiment_1,10,0,hue vs saturation,fair,6,320,0.5,1,255,127,212,70.31037828,58.58291265,-21.33340724,0,32895
Experiment_1,10,0,hue vs saturation,fair,5,306,0.23,1,255,196,249,85.79570432,29.50108499,-17.95305019,0,6602
Experiment_1,10,0,hue vs saturation,fair,4,86,0.53,1,196,255,119,93.70514939,-39.57420517,58.25769375,0,6073
